X,Y,LAST_YEAR,AADT_ALLVE
2439147.542,2350822.125,,
2634268.843,2365807.118,,
2439636.772,2351152.643,,
2510405.77,2411247.117,2020,18000
2495567.815,2410911.659,2003,2200
2509346.921,2400511.025,,
2731213.104,2405091.305,,
2487363.656,2407740.129,,
2431463.308,2491906.645,2000,3000
2729878.382,2404770.977,,
2504663.182,2391288.355,2003,5500
2523510.459,2404511.365,2020,11000
2495768.634,2467141.681,,
2511030.237,2376860.262,2003,10000
2497187.579,2423358.593,,
2504780.536,2400949.119,,
2516610.524,2360072.287,,
2496072.199,2410168.572,2003,8700
2505292.05,2395496.927,2020,9500
2439636.772,2351152.643,,
2533452.612,2420053.489,,
2493753.48,2426286.221,,
2505212.339,2397798.324,2020,14000
2519390.956,2390644.472,2000,19000
2509915.83,2409373.523,,
2444601.762,2368992.125,,
2497103.447,2411989.466,,
2511467.794,2400878.247,,
2437543.272,2364762.925,2013,4800
2412340.138,2331402.978,2005,1100
2133451.991,2687966.766,,
2443946.722,2371745.027,,
2433760.277,2527823.749,2017,8000
2441335.3,2370199.664,2000,9500
2319324.727,2567518.212,2013,750
2494530.13,2415334.945,,
2439094.178,2351207.087,,
2337840.163,2457943.604,,
2502355.99,2412162.663,,
2493781.896,2428472.403,2000,9200
2284513.149,2502344.136,,
2545360.089,2381646.775,,
2503967.985,2363600.985,,
2508754.312,2409575.356,2020,
2498568.371,2410192.765,,
2502542.252,2410417.44,2020,17000
2499089.931,2400437.606,,
2431498.384,2531329.556,,
2503167.372,2403024.268,2003,3400
2237731.808,2804243.152,2013,6300
2457352.863,2369032.616,,
2520843.248,2379377.915,,
2531687.674,2415262.379,,
2524834.04,2377028.135,2004,14000
2433979.004,2525090.794,,
2507365.207,2389156.399,,
2531687.674,2415262.379,,
2495152.714,2409581.757,2004,5300
2502747.702,2432341.967,2006,4500
2493235.532,2425316.953,,
2515406.085,2364214.088,,
2533299.972,2419071.847,,
2526454.012,2383049.967,2000,9100
2523609.475,2385893.052,,
2550324.569,2381543.452,,
2502306.109,2410079.011,,
2582614.826,2335763.273,,
2509540.07,2401748.588,2001,8800
2526438.013,2382956.752,2000,9700
2439174.197,2361555.967,,
2235497.222,2419540.535,,
2211913.155,2408072.939,,
2312173.312,2333733.469,,
2387579.181,2317099.946,,
2446554.883,2383079.225,,
2449202.333,2369068.279,,
2444641.798,2364769.638,2005,6800
2206817.64,2429093.072,,
2343564.383,2367648.172,,
2459886.535,2363832.691,,
2250237.479,2354964.67,,
2195636.09,2415722.482,,
2429167.426,2375472.357,2014,2000
