Sex,Age,5-year Age/Sex group,15-year Age/Sex group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Persons,76,Persons - 75 to 79,Persons - 75 and over,"29,651","31,205","31,729","32,910","33,968","35,212","35,948","37,958","37,464","41,098","42,648","44,906","53,425","51,906","50,956","52,470","53,265","53,629","55,016","55,515","57,206","58,822","59,777","61,217","63,049","63,960","66,148","66,970","67,796","67,266","66,245","66,114","66,415","68,647","71,813","72,739","77,526","76,833","74,391","73,857","73,375"
Persons,77,Persons - 75 to 79,Persons - 75 and over,"28,694","28,879","30,480","31,085","32,149","33,189","34,327","34,962","36,887","36,736","39,857","41,563","43,946","52,310","50,822","49,928","51,430","52,228","52,598","53,974","54,480","56,153","57,751","58,708","60,138","61,949","62,863","65,029","65,850","66,676","66,173","65,180","65,065","65,376","67,584","70,718","71,646","76,381","75,714","73,323","72,810"
Persons,78,Persons - 75 to 79,Persons - 75 and over,"27,221","27,867","28,037","29,672","30,324","31,357","32,268","33,283","33,897","35,982","35,606","38,756","40,562","42,911","51,083","49,663","48,812","50,301","51,096","51,474","52,837","53,348","55,001","56,580","57,537","58,956","60,743","61,660","63,799","64,619","65,446","64,970","64,008","63,910","64,233","66,415","69,511","70,441","75,117","74,479","72,142"
Persons,79,Persons - 75 to 79,Persons - 75 and over,"25,745","26,360","26,980","27,125","28,786","29,454","30,354","31,304","32,264","32,967","34,767","34,452","37,680","39,469","41,762","49,749","48,389","47,582","49,052","49,843","50,228","51,577","52,093","53,723","55,279","56,235","57,640","59,401","60,318","62,428","63,246","64,074","63,627","62,700","62,619","62,953","65,106","68,160","69,090","73,700","73,092"
Persons,80,Persons - 80 to 84,Persons - 75 and over,"25,989","24,768","25,386","26,061","26,115","27,829","28,373","29,385","30,306","31,284","31,638","33,582","33,346","36,509","38,263","40,506","48,277","46,980","46,219","47,666","48,452","48,843","50,174","50,695","52,298","53,829","54,782","56,169","57,900","58,818","60,893","61,710","62,537","62,121","61,231","61,169","61,516","63,634","66,640","67,569","72,102"
Persons,81,Persons - 80 to 84,Persons - 75 and over,"24,978","24,891","23,740","24,384","24,958","25,075","26,654","27,266","28,272","29,297","29,998","30,319","32,331","32,150","35,232","36,947","39,128","46,661","45,429","44,715","46,134","46,913","47,310","48,620","49,145","50,718","52,219","53,167","54,534","56,231","57,146","59,184","59,996","60,821","60,439","59,590","59,547","59,905","61,986","64,935","65,862"
Persons,82,Persons - 80 to 84,Persons - 75 and over,"22,978","23,859","23,708","22,717","23,256","23,820","23,841","25,389","26,085","27,088","28,013","28,577","29,004","30,978","30,849","33,827","35,493","37,603","44,868","43,706","43,042","44,430","45,199","45,601","46,886","47,413","48,950","50,418","51,358","52,701","54,359","55,270","57,262","58,070","58,890","58,543","57,739","57,718","58,087","60,123","63,008"
Persons,83,Persons - 80 to 84,Persons - 75 and over,"21,490","21,734","22,598","22,438","21,546","22,051","22,557","22,611","24,029","24,871","25,731","26,596","27,145","27,596","29,522","29,421","32,282","33,892","35,921","42,887","41,799","41,189","42,540","43,297","43,703","44,958","45,486","46,982","48,410","49,340","50,653","52,267","53,171","55,110","55,910","56,723","56,414","55,659","55,660","56,040","58,024"
Persons,84,Persons - 80 to 84,Persons - 75 and over,"19,892","20,152","20,410","21,236","21,066","20,368","20,741","21,307","21,350","22,694","23,420","24,255","25,058","25,627","26,097","27,937","27,864","30,594","32,137","34,076","40,712","39,705","39,150","40,458","41,200","41,608","42,827","43,355","44,804","46,188","47,102","48,381","49,943","50,835","52,714","53,502","54,305","54,035","53,334","53,357","53,746"
Persons,85,Persons - 85 to 89,Persons - 75 and over,"18,137","18,518","18,753","18,948","19,769","19,616","18,992","19,388","19,841","20,060","21,182","21,901","22,642","23,443","24,025","24,478","26,223","26,178","28,761","30,231","32,070","38,344","37,420","36,924","38,183","38,906","39,315","40,493","41,017","42,412","43,744","44,638","45,876","47,380","48,255","50,064","50,837","51,626","51,397","50,753","50,799"
Persons,86,Persons - 85 to 89,Persons - 75 and over,"15,948","16,771","17,135","17,315","17,430","18,281","18,061","17,496","17,906","18,401","18,592","19,566","20,233","20,968","21,757","22,311","22,742","24,381","24,358","26,780","28,166","29,897","35,774","34,939","34,502","35,704","36,404","36,811","37,941","38,459","39,792","41,063","41,930","43,119","44,555","45,408","47,134","47,887","48,659","48,471","47,890"
Persons,87,Persons - 85 to 89,Persons - 75 and over,"14,007","14,483","15,355","15,630","15,769","15,902","16,721","16,489","15,996","16,402","16,792","16,938","17,866","18,520","19,244","19,980","20,502","20,908","22,433","22,432","24,680","25,975","27,590","33,043","32,299","31,921","33,061","33,734","34,136","35,213","35,718","36,980","38,183","39,018","40,150","41,512","42,336","43,970","44,699","45,447","45,301"
Persons,88,Persons - 85 to 89,Persons - 75 and over,"11,991","12,628","13,027","13,797","14,082","14,310","14,320","15,145","14,934","14,516","14,908","15,113","15,267","16,150","16,785","17,456","18,135","18,623","19,002","20,406","20,424","22,489","23,687","25,177","30,183","29,531","29,213","30,284","30,926","31,321","32,334","32,823","34,007","35,134","35,931","37,000","38,278","39,067","40,601","41,300","42,019"
Persons,89,Persons - 85 to 89,Persons - 75 and over,"10,397","10,622","11,193","11,530","12,305","12,566","12,724","12,786","13,501","13,329","12,910","13,128","13,428","13,610","14,442","15,019","15,634","16,253","16,704","17,053","18,330","18,366","20,240","21,337","22,696","27,239","26,679","26,418","27,414","28,022","28,401","29,344","29,812","30,911","31,957","32,710","33,708","34,896","35,645","37,068","37,732"
Persons,90,Persons  - 90 and over,Persons - 75 and over,"33,910","36,322","38,658","41,389","43,787","46,655","48,704","50,471","52,157","54,017","55,449","55,985","56,858","58,043","59,403","61,259","63,333","65,641","68,157","70,702","73,174","76,406","79,206","83,250","87,691","92,703","101,039","107,743","113,232","118,757","123,940","128,619","133,360","137,754","142,415","147,285","152,093","157,068","162,392","167,647","173,444"
Persons,Total,Persons - Total,Persons - Total,"5,537,817","5,651,091","5,772,669","5,894,917","6,022,322","6,173,172","6,302,608","6,423,038","6,537,305","6,615,046","6,547,822","6,625,882","6,800,630","6,952,766","7,060,162","7,181,626","7,304,716","7,429,320","7,553,748","7,678,087","7,802,503","7,927,019","8,051,679","8,176,540","8,301,666","8,427,079","8,552,696","8,678,573","8,804,718","8,931,109","9,057,948","9,185,141","9,312,586","9,440,169","9,567,755","9,695,239","9,822,517","9,949,489","10,076,122","10,202,395","10,328,326"
